Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"ALDWORTH, Mr Augustus Henry",35,2nd Class PassengerServant,248744£13,Southampton,Chauffeur,
"BARBER, Miss Ellen Mary",26,1st Class PassengerServant,19877£78 17s,Southampton,Personal Maid,6
"BASSANI, Mrs Albina",31,1st Class PassengerServant,11813£76 5s 10d,Cherbourg,Personal Maid,8
"BESSETTE, Miss Nellie Mayo",39,1st Class PassengerServant,17760£63 7s 2d,Cherbourg,Personal Maid,8
"BIDOIS, Miss Rosalie",46,1st Class PassengerServant,17757£247 10s 6d,Cherbourg,Personal Maid,4
"BIRD, Miss Ellen",31,1st Class PassengerServant,17483£221 15s 7d,Southampton,Personal Maid,8* 
"BOWEN, Miss Grace Scott",45,1st Class PassengerServant,17608£262 7s 6d,Cherbourg,Governess,4
"BROWN, Miss Amelia Mary",18,2nd Class PassengerServant,248733£13,Southampton,Cook (Personal),11
"BURNS, Miss Elizabeth Margaret",41,1st Class PassengerServant,16966£134 10s,Cherbourg,Nursemaid,3
"CAIRNS, Mr Alexander Milne",28,1st Class PassengerServant,113798£31,Southampton,Servant,
"CHAUDANSON, Miss Victorine",36,1st Class PassengerServant,17608£262 7s 6d,Cherbourg,Personal Maid,4
"CLEAVER, Miss Alice Catherine",22,1st Class PassengerServant,113781£151 16s,Southampton,Nursemaid,11
"DANIELS, Miss Sarah Rebecca",36,1st Class PassengerServant,113781£151 16s,Southampton,Personal Maid,8* 
"ENDRES, Miss Caroline Louise",39,1st Class PassengerServant,17757£247 10s 6d,Cherbourg,Nurse,4
"FARTHING, Mr John",48,1st Class PassengerServant,17483£221 15s 7d,Southampton,Servant,
"FLEMING, Miss Margaret",42,1st Class PassengerServant,17421£110 17s 8d,Cherbourg,Personal Maid,4
"FRANCATELLI, Miss Laura Mabel",31,1st Class PassengerServant,17485£56 18s 7d,Cherbourg,Secretary,1
"FRY, Mr Richard Thomas",39,1st Class PassengerServant,112058,Southampton,Personal Valet,
"GIEGER, Miss Amalie Henriette",35,1st Class PassengerServant,113503£211 10s,Southampton,Personal Maid,4
"GIGLIO, Mr Victor Gaitan Andrea",23,1st Class PassengerServant,17593£79 4s,Cherbourg,Servant,
"HARRINGTON, Mr Henry Charles",37,1st Class PassengerServant,113796£42 8s,Southampton,Servant,
"HARRISON, Mr William Henry",45,1st Class PassengerServant,112059,Southampton,Secretary,[110]
"HASSAB, Mr Hammad",27,1st Class PassengerServant,17572£76 14s 7d,Cherbourg,Servant,3
"ICARD, Miss Rose Amélie",39,1st Class PassengerServant,113572£80,Southampton,Personal Maid,6
"KEEPING, Mr Edwin Herbert",33,1st Class PassengerServant,113503£211 10s,Southampton,Servant,[45]
"KREUCHEN, Miss Emilie",29,1st Class PassengerServant,24160£211 6s 9d,Southampton,Personal Maid,2
"LEROY, Miss Berthe",27,1st Class PassengerServant,17761£106 8s 6d,Cherbourg,Personal Maid,2
"LESUEUR, Mr Louis Gustave Joseph",35,1st Class PassengerServant,17755£512 6s 7d,Cherbourg,Servant,3
"LURETTE, Miss Eugénie Elise",59,1st Class PassengerServant,17569£146 10s 5d,Cherbourg,Personal Maid,
"MAIONI, Miss Roberta Elizabeth Mary",20,1st Class PassengerServant,110152£86 10s,Southampton,Personal Maid,8
"OLIVA Y OCANA, Doña Fermina",39,1st Class PassengerServant,17758£108 18s,Cherbourg,Personal Maid,8
"PAYNE, Mr Vivian Ponsonby",23,1st Class PassengerServant,12749£93 10s,Southampton,Clerk,
"PERNOT, Mr René",39,2nd Class PassengerServant,2131£15 1s,Cherbourg,Chauffeur,
"PERREAULT, Miss Mary Anne",33,1st Class PassengerServant,12749£93 10s,Southampton,Personal Maid,3* 
"RIGHINI, Mr Sante",28,1st Class PassengerServant,17760£135 12s 8d,Cherbourg,Servant,[232]
"ROBINS, Mr Victor",45,1st Class PassengerServant,17757£247 10s 6d,Cherbourg,Servant,
"SÄGESSER, Mlle Emma",24,1st Class PassengerServant,17477£69 6s,Cherbourg,Personal Maid,9
"SERREPLAÀ, Miss Augusta Jeanne",30,1st Class PassengerServant,113798£31,Southampton,Personal Maid,4
"SHUTES, Miss Elizabeth Weed",40,1st Class PassengerServant,17582£153 9s 3d,Southampton,Governess,3* 
"SWANE, Mr George",19,2nd Class PassengerServant,248734£13,Southampton,Chauffeur,[294]
"WARD, Miss Annie Moore",37,1st Class PassengerServant,17755£512 6s 7d,Cherbourg,Personal Maid,3
"WHEELER, Mr Edwin Charles",26,2nd Class PassengerServant,2159£12 17s 6d,Southampton,Servant,
"WILSON, Miss Helen Alice",33,1st Class PassengerServant,16966£134 10s,Cherbourg,Personal Maid,3
